FREQUENCIA,NOME,GEOMETRY
DIURNO - SEG/QUA/SEX,201128 - SER VIII - ITAPERY,"MULTIPOLYGON (((-38.54795592008311 -3.787574702262392, -38.54969054333544 -3.793048590231229, -38.54993413223425 -3.793847030707683, -38.54907991833814 -3.794105167963791, -38.54850587276244 -3.794276292728056, -38.54812533882312 -3.792995598731451, -38.5474474884365 -3.793362592038588, -38.54707208512208 -3.793474928555784, -38.54653439620564 -3.793733386743932, -38.54630043760214 -3.793816155414248, -38.54588060998659 -3.794281723093209, -38.54545235405673 -3.794538497779463, -38.54498490249426 -3.794746349416171, -38.54449553641798 -3.794724587474796, -38.54223231985881 -3.795641821929656, -38.53977506276014 -3.795518718273219, -38.53683372585144 -3.796620717712249, -38.5355753083769 -3.796435256906994, -38.53397964843399 -3.794289543692048, -38.53691848870517 -3.791715808032952, -38.53872349398633 -3.791050650342144, -38.54725932009787 -3.787953943010117, -38.54795592008311 -3.787574702262392)))"
DIURNO - SEG/QUA/SEX,201151 - SER X - PARQUE SAO JOSE,"MULTIPOLYGON (((-38.58740240817821 -3.793917743969459, -38.58775660966479 -3.792999499167699, -38.58867725067963 -3.79093823651425, -38.59174254849005 -3.794182290910093, -38.59887324277165 -3.801525381814888, -38.59529260780981 -3.803356896461699, -38.59512075284417 -3.805430696536401, -38.59517485764121 -3.806975699334686, -38.59423566685505 -3.807524230139823, -38.58694537218581 -3.799499659246481, -38.58570516641205 -3.798208373548227, -38.58408206531029 -3.796473062598599, -38.58310371357515 -3.795328705904307, -38.58421174347232 -3.794295563401259, -38.58639751913687 -3.796658783975475, -38.58740240817821 -3.793917743969459)))"
DIURNO - SEG/QUA/SEX,201155 - SER X - JARDIM FLUMINENSE,"MULTIPOLYGON (((-38.60895416704624 -3.814514991864288, -38.60781953229376 -3.81538364866811, -38.60711562826289 -3.815059186069523, -38.60608174404913 -3.815087385020028, -38.60448976978349 -3.813459297581554, -38.60007137151266 -3.816320686156157, -38.5985793468444 -3.814120970693049, -38.5983269646417 -3.813540867797196, -38.59739303838409 -3.811770290847483, -38.59630303458898 -3.809965463177401, -38.59426950941398 -3.807514238624006, -38.59518702282021 -3.806984521652606, -38.59516728150895 -3.80517871148775, -38.59531746989547 -3.803374323675399, -38.59886743041314 -3.801538781957974, -38.60119124505479 -3.803878266962103, -38.61076701714042 -3.81376906855736, -38.6125394278006 -3.815481442923357, -38.61113677732597 -3.816413418905742, -38.60895416704624 -3.814514991864288)))"
DIURNO - SEG/QUA/SEX,201156 - SER V - SIQUEIRA,"MULTIPOLYGON (((-38.60303209604538 -3.805695615591986, -38.60742899262017 -3.803569882319471, -38.60837494951939 -3.802998407476818, -38.6101852985484 -3.80174525749602, -38.61003628633709 -3.801325496827419, -38.60927302207864 -3.80149568442187, -38.60867053771757 -3.799746369153603, -38.60821722643901 -3.798487002440196, -38.60816093802393 -3.797668384762218, -38.61092546492755 -3.798024180776808, -38.61512734599537 -3.798617599024313, -38.6155723772958 -3.803307967434319, -38.61725168862092 -3.808329899356691, -38.62252134471706 -3.816975753551331, -38.62021531485147 -3.819210891832613, -38.61815106903634 -3.821081745320385, -38.60303209604538 -3.805695615591986)))"
DIURNO - SEG/QUA/SEX,201160 - SER V - SANTO AMARO,"MULTIPOLYGON (((-38.60656306251729 -3.798621057563237, -38.60709057782837 -3.799337960193595, -38.60706799051229 -3.799869489940378, -38.60665970343997 -3.79991114385055, -38.60553637339538 -3.799932928659282, -38.60233395966431 -3.801000175389941, -38.59982948908694 -3.802425304441769, -38.59333488499588 -3.795572923678695, -38.60239898264393 -3.792622311475924, -38.60643572837625 -3.791254486277846, -38.60764128948305 -3.794146049809236, -38.60818217788202 -3.794736631149958, -38.60597436078556 -3.795433099247796, -38.60606827616468 -3.795762821926684, -38.60620573278142 -3.796249566031066, -38.60652201754979 -3.79739380677595, -38.60605471565722 -3.797371181742382, -38.60656306251729 -3.798621057563237)))"
DIURNO - SEG/QUA/SEX,201164 - SER V - GRANJA PORTUGAL IV,"MULTIPOLYGON (((-38.59420996166539 -3.795278777064072, -38.59332011172805 -3.795557296232244, -38.58867212444841 -3.790895607433929, -38.58913926506875 -3.789738984520772, -38.59186074320755 -3.792043760983014, -38.60641221494056 -3.787403973271945, -38.60702899830617 -3.789487075096055, -38.60650082161338 -3.789708129823918, -38.6064324846894 -3.791243224075079, -38.60226186965738 -3.792647736717032, -38.59420996166539 -3.795278777064072)))"
DIURNO - SEG/QUA/SEX,201168 - SER V - GRANJA LISBOA,"MULTIPOLYGON (((-38.61244619751582 -3.785378252321799, -38.61543470257792 -3.794340906801007, -38.6139590528102 -3.794820105331553, -38.6110526006916 -3.795822521948657, -38.61120301974963 -3.796375892470818, -38.61034543396823 -3.797122706697929, -38.60924278067414 -3.796606138011382, -38.60884692012796 -3.795330173102566, -38.60847624306206 -3.795105527616988, -38.60763988815837 -3.794130597103623, -38.60695330061682 -3.792534418693606, -38.6064728948795 -3.791266441208275, -38.60650287698559 -3.789706794464887, -38.60702813167845 -3.789481402193468, -38.60641039909228 -3.787396259336706, -38.60885394233738 -3.786570376662694, -38.60945026770286 -3.786380139082711, -38.61244619751582 -3.785378252321799)))"
DIURNO - SEG/QUA/SEX,201171 - SER V - GRANJA LISBOA I,"MULTIPOLYGON (((-38.61955536546893 -3.782429847371505, -38.61992220242113 -3.784005984740664, -38.62142756655358 -3.783594937795297, -38.62352607950077 -3.791379488164734, -38.62404945715108 -3.791288576623659, -38.62442482545802 -3.794146147193968, -38.6202493902731 -3.794616377038853, -38.61998126198844 -3.792840353940295, -38.61542323982093 -3.794363514471071, -38.6152000220229 -3.793754007084258, -38.61267488467033 -3.78611531684734, -38.61553337480913 -3.785203782292005, -38.61706879082612 -3.784721886892863, -38.61653199066869 -3.783234774868825, -38.61955536546893 -3.782429847371505)))"
DIURNO - SEG/QUA/SEX,201175 - SER V - PALMARES,"MULTIPOLYGON (((-38.62404438698304 -3.791287376255955, -38.6235195548583 -3.791382913916267, -38.62142174542059 -3.783542619089781, -38.62287727031012 -3.783151316616818, -38.6225263093631 -3.78193055097108, -38.62534309496798 -3.78111811907511, -38.62605604556315 -3.783117138688382, -38.62744601417564 -3.782714324153864, -38.62790145876169 -3.784865635177361, -38.63131723067652 -3.783962036063063, -38.63263439790828 -3.788845971986362, -38.63333485535179 -3.791302774341222, -38.63451697628081 -3.791849589025027, -38.63451115460477 -3.794278912317101, -38.63444255322381 -3.796648803375962, -38.63407497215773 -3.797623278887043, -38.62483827973701 -3.798524206078605, -38.62404438698304 -3.791287376255955)))"
DIURNO - SEG/QUA/SEX,201180 - SER V - BOM JARDIM,"MULTIPOLYGON (((-38.62481353954371 -3.798534464213271, -38.61962580385741 -3.799167418985377, -38.61506925491662 -3.798630131372155, -38.61147003646583 -3.79806938520199, -38.60622552165074 -3.797372532186623, -38.60648757447961 -3.797246983353606, -38.605985625138 -3.795437891432737, -38.60814749412188 -3.794744935876389, -38.60862133793486 -3.795338154792978, -38.60896241961051 -3.79543180448597, -38.60920084208432 -3.796553434971699, -38.61036873013423 -3.797161912265427, -38.61123937468864 -3.796376102353845, -38.61106209975267 -3.795826209952601, -38.61996037253356 -3.792858212428697, -38.62024890157437 -3.794636539930534, -38.62435333879213 -3.794153154198568, -38.62481353954371 -3.798534464213271)))"
DIURNO - SEG/QUA/SEX,201185 - SER V - BOM JARDIM II,"MULTIPOLYGON (((-38.60823489959195 -3.798507843988459, -38.6092871511584 -3.801503873379088, -38.61005980483598 -3.80135261007177, -38.61015269528533 -3.801711428011982, -38.60779800207854 -3.803303810945293, -38.60743988250447 -3.803522450057651, -38.60292288723183 -3.805705660408739, -38.60119770161865 -3.803907216174018, -38.60090812933349 -3.803590880589617, -38.60051700859275 -3.803166250108946, -38.60026703492842 -3.802891107397404, -38.59982419682083 -3.802410522865335, -38.60233710070949 -3.800995634944652, -38.60553673106396 -3.799933479926327, -38.60656774992042 -3.799916368340554, -38.6070634338389 -3.799861465032869, -38.60708810942995 -3.799328858794501, -38.60656856516254 -3.798627380694546, -38.60606603339429 -3.797368179451844, -38.60653964688957 -3.797410816662958, -38.60818069265428 -3.797647730824329, -38.60823489959195 -3.798507843988459)))"
DIURNO - SEG/QUA/SEX,201188 - SER XI - GENIBAU,"MULTIPOLYGON (((-38.60188223952147 -3.748835485936879, -38.60463626306488 -3.750713074821915, -38.60515175000622 -3.751939651446486, -38.60588009250603 -3.753739280140047, -38.60533784056199 -3.755124129818757, -38.60562149858304 -3.755955632872854, -38.6049566351849 -3.756141378787434, -38.60491703699932 -3.756811149654016, -38.6030730304012 -3.761687625877543, -38.60176230122885 -3.754533647846515, -38.60106067260666 -3.754622235149542, -38.60095224768914 -3.753103646774202, -38.60030539297568 -3.752152022377298, -38.60021561615773 -3.75009635588291, -38.60012899650476 -3.749566910096164, -38.59975384251973 -3.748945054664596, -38.59889173715298 -3.748250667963677, -38.59863053226075 -3.746697825328134, -38.59769003736244 -3.746140350656083, -38.59725369418747 -3.745483625727383, -38.5971733724664 -3.744894264369927, -38.59742771192882 -3.744117581562371, -38.59885740319373 -3.742039628273225, -38.59979543868018 -3.744853010121456, -38.6004152883987 -3.746811403009789, -38.60116372790836 -3.748428162131999, -38.60188223952147 -3.748835485936879)))"
DIURNO - SEG/QUA/SEX,201227 - SER IX - CONJUNTO PALMEIRAS,"MULTIPOLYGON (((-38.53227853695205 -3.838916999202175, -38.53480116296586 -3.84373753736823, -38.52535443554487 -3.852200667073398, -38.52253716147267 -3.854418024762874, -38.5217104259597 -3.851514588028687, -38.52029981982074 -3.846424923979774, -38.52184794312766 -3.84621682177585, -38.52186331220334 -3.84625795559621, -38.52306463737709 -3.846116065629803, -38.52359670813804 -3.845931506819135, -38.52440974339886 -3.845453724695717, -38.52568020571892 -3.844430933349011, -38.53227853695205 -3.838916999202175)))"
DIURNO - SEG/QUA/SEX,201228 - SER VIII - PASSARE I,"MULTIPOLYGON (((-38.53676489795441 -3.803135695100743, -38.54140922638937 -3.803057976612064, -38.54414599485988 -3.803768872975845, -38.5453139016856 -3.806708391194738, -38.54267228340164 -3.80769177051339, -38.54273954827042 -3.808780368141461, -38.54370939659521 -3.809936529575727, -38.54363766579553 -3.811144981884896, -38.54105062830762 -3.81342396529435, -38.53996830408125 -3.813804741956518, -38.54021112727392 -3.81426830947968, -38.54026586291941 -3.814724967217415, -38.54045805242811 -3.815152408066183, -38.53981930316421 -3.815753017061613, -38.53952753810316 -3.815191895726036, -38.53887968306727 -3.814088679254474, -38.53756338719554 -3.812236963020299, -38.53630634629881 -3.813165591267727, -38.53560618869885 -3.813661606387642, -38.53232463422286 -3.80315791774808, -38.53676489795441 -3.803135695100743)))"
DIURNO - SEG/QUA/SEX,201231 - SER VIII - PARQUE DOIS IRMAOS II,"MULTIPOLYGON (((-38.55878419715623 -3.802495626437874, -38.55937086890991 -3.803596102467908, -38.55897337024067 -3.804294707125078, -38.55785916442567 -3.806302115529395, -38.55609054204701 -3.808139527199764, -38.55487547282365 -3.809290345775387, -38.5546278279684 -3.809438624980064, -38.55382159638139 -3.806605159821284, -38.54945802035822 -3.809026144962453, -38.54562397011927 -3.808196285451275, -38.54527695405627 -3.806579875418349, -38.54416323111926 -3.803767128073599, -38.55050732231259 -3.802172645519602, -38.54678882100968 -3.798809092915945, -38.54591930261898 -3.798427107613797, -38.54875155675053 -3.797292696298685, -38.54947245077752 -3.797053366077543, -38.55082437365611 -3.796628863513711, -38.55065173741873 -3.796093599603113, -38.5540641698886 -3.794972264578132, -38.55488698328058 -3.796651120926773, -38.55550411812916 -3.797326095551495, -38.55878419715623 -3.802495626437874)))"
DIURNO - SEG/QUA/SEX,201234 - SER VIII - PASSARE II,"MULTIPOLYGON (((-38.53753460813579 -3.812256727136363, -38.53887976435936 -3.814091170239494, -38.53985362442706 -3.815707873694187, -38.5394661243493 -3.816047978708219, -38.54138043778917 -3.818283341802952, -38.54308847356214 -3.816801028589775, -38.54557060722325 -3.819670814561999, -38.5438088310131 -3.821020600107305, -38.54394017369455 -3.821182300482755, -38.54457216692239 -3.824459482450046, -38.53944250805097 -3.825638257369381, -38.53691392496439 -3.823424186062167, -38.53325302601281 -3.818447017099204, -38.52978783666519 -3.813736073271453, -38.52483414853035 -3.807345327645633, -38.52052170427527 -3.801932030309676, -38.52248653383128 -3.80038385469696, -38.52336035413194 -3.801484053392437, -38.52738793261416 -3.800990437379086, -38.52718258854459 -3.798541693274629, -38.52795290588053 -3.796664123880001, -38.5287208279103 -3.796339279333911, -38.53019346551534 -3.797319299021975, -38.53115957538209 -3.798076531603718, -38.53014963159465 -3.800982802776171, -38.53482957547288 -3.80068990561583, -38.53486190345176 -3.803157494071274, -38.53226539140196 -3.802996331387634, -38.53452751135023 -3.810494933679997, -38.53562241675401 -3.81368380856638, -38.53753460813579 -3.812256727136363)))"
DIURNO - SEG/QUA/SEX,201237 - SER VIII - PARQUE DOIS IRMAOS I,"MULTIPOLYGON (((-38.54562017632626 -3.808192450389645, -38.54945445633874 -3.809028702917214, -38.5538421299887 -3.806581269776925, -38.55467010350926 -3.809489637776057, -38.55823632649766 -3.821129792647608, -38.54944836328721 -3.823715327030035, -38.54458094995781 -3.824459706667475, -38.54393862397596 -3.82117857115305, -38.54381159324547 -3.821022781105186, -38.54557216183932 -3.819674826973606, -38.54308410191948 -3.816802828819541, -38.54137687346144 -3.818283474893293, -38.53946392675285 -3.816051786434774, -38.54046291949275 -3.815159788618531, -38.53996360372948 -3.813841203652771, -38.54097953206354 -3.813379061760502, -38.54350894841174 -3.8113498242888, -38.54374752703384 -3.809930206751688, -38.54277803252048 -3.808800713715343, -38.54267177362289 -3.807684774899689, -38.54531278849458 -3.806704639905709, -38.54562017632626 -3.808192450389645)))"
